Average of Value,Column Labels,,,,,,,,
Row Labels,1945-1954,1955-1964,1965-1974,1975-1984,1985-1994,1995-2004,2005-2014,2015-2024,Grand Total
CZE,,,,,,5.3172604,3.517666676,1.077029903,3.376196645
FRA,,5.480833318,7.960333282,12.71183324,8.989165988,5.210381447,3.223632263,0.645524261,6.890366138
GBR,,5.7505,8.609999929,12.81074988,9.711504171,5.826911676,3.580240835,1.4042722,7.382101852
IND,,,,,,,8.323244154,7.372601346,7.752858469
KOR,,,,,,5.91340275,4.507441653,2.135631238,4.232548379
RUS,,,,,,29.19180547,7.904083365,9.791370203,14.80045067
SVK,,,,,,6.389668945,3.995166641,0.761762819,3.754023869
SVN,,,,,,6.414166681,4.486416671,1.095341871,3.896926556
USA,2.553026342,3.742999982,6.0713333,10.27866673,8.040583294,5.421833341,3.332833347,2.2978854,5.757335968
Grand Total,2.553026342,4.679333321,7.547222171,11.93374995,8.913751151,8.36501488,4.465921064,2.750045287,6.490323225